Product ID,Web Traffic,Cart Status,Stock Status,Units Sold,Present Price,Customer Ratings
88,4796,purchased,in stock,170,824,4.1
89,4163,purchased,out of product,416,48,2.5
90,7930,purchased,out of product,324,418,4.1
91,3436,incart,in stock,246,295,1.8
92,7883,purchased,out of product,298,10,2.6
93,4117,incart,out of product,452,306,3.9
94,2217,incart,in stock,182,551,4.3
95,5403,incart,in stock,294,73,2.0
96,3729,purchased,out of product,297,341,3.9
97,8066,incart,in stock,119,183,3.3
98,1569,purchased,in stock,256,76,4.1
99,6935,purchased,in stock,323,159,4.8
100,1423,incart,out of product,379,514,3.8
101,3061,purchased,in stock,53,191,2.3
102,1548,purchased,in stock,222,372,2.6
103,9005,incart,in stock,42,181,3.0
104,3644,purchased,in stock,286,229,3.5
105,6167,purchased,out of product,129,404,2.1
106,5945,incart,out of product,448,200,4.8
107,9683,incart,out of product,45,695,1.9
108,5762,incart,in stock,31,441,4.1
109,4467,purchased,out of product,3,209,3.8
110,9043,purchased,in stock,381,271,3.7
111,3173,purchased,in stock,71,126,1.2
112,4405,purchased,out of product,393,929,4.6
113,9615,purchased,in stock,116,460,1.6
114,1142,incart,out of product,327,369,2.2
115,7696,incart,in stock,80,875,2.8
116,6419,incart,in stock,400,276,2.3
117,5157,incart,in stock,240,709,3.6
118,2216,purchased,out of product,324,100,3.0
119,9611,purchased,in stock,345,893,4.1
120,4801,incart,out of product,392,567,3.6
121,7484,purchased,in stock,466,909,1.1
122,1275,purchased,out of product,476,630,2.5
123,8195,purchased,out of product,453,622,3.9
124,2086,purchased,in stock,199,805,4.8
125,7999,purchased,in stock,160,900,3.2
126,529,purchased,out of product,32,92,4.5
127,6850,purchased,in stock,146,376,3.5
128,9001,incart,out of product,380,979,4.6
129,5324,incart,in stock,225,40,3.6
130,552,purchased,out of product,194,870,3.3
131,9432,purchased,in stock,243,238,2.9
132,2697,purchased,out of product,374,473,3.2
133,4936,purchased,out of product,213,810,5.0
134,5947,purchased,in stock,419,782,4.0
135,3705,purchased,out of product,119,109,4.9
136,8430,purchased,in stock,273,177,1.7
137,9329,incart,out of product,7,490,1.9
138,7678,incart,in stock,121,350,4.9
139,5703,purchased,out of product,392,544,4.7
140,8495,incart,in stock,212,113,5.0
141,2362,incart,in stock,349,945,3.9
142,4470,incart,in stock,494,164,4.4
143,6793,incart,out of product,350,184,2.5
144,4555,incart,out of product,189,946,1.8
145,7986,incart,in stock,257,667,3.9
146,2348,purchased,in stock,146,495,1.7
147,6845,incart,in stock,250,835,3.1
148,7085,incart,in stock,67,790,1.6
149,7655,purchased,out of product,160,590,4.1
150,9074,purchased,out of product,383,584,1.1
151,8967,incart,out of product,26,604,3.7
152,4122,purchased,in stock,97,166,2.4
153,875,purchased,out of product,276,141,3.8
154,2804,purchased,out of product,469,33,2.2
155,3658,incart,in stock,411,61,3.6
156,9585,incart,out of product,411,761,3.0
157,8395,incart,in stock,0,857,2.1
158,5579,purchased,in stock,364,915,1.7
159,6107,purchased,in stock,434,418,3.4
160,7869,purchased,out of product,12,925,3.4
161,4833,incart,in stock,426,22,2.0
162,2680,purchased,in stock,272,247,4.8
163,2498,incart,out of product,500,129,4.0
164,4858,incart,in stock,47,987,1.9
165,8672,incart,out of product,347,698,1.5
166,8754,purchased,in stock,119,396,2.0
167,9890,incart,out of product,406,875,1.4
168,1844,incart,in stock,403,404,4.6
169,4739,purchased,out of product,12,42,2.0
170,560,purchased,in stock,335,381,3.7
171,1285,purchased,in stock,337,578,4.0
172,7155,incart,out of product,488,837,3.4
173,8948,incart,in stock,192,137,3.6
174,1518,incart,in stock,281,992,3.2
175,1134,purchased,out of product,273,658,3.6
176,5421,purchased,out of product,160,96,4.8
177,2617,incart,in stock,62,145,4.2
178,7535,incart,in stock,373,93,1.3
179,7635,purchased,in stock,403,461,3.6
180,6283,purchased,out of product,420,690,2.0
181,2853,purchased,in stock,295,649,3.8
182,2011,incart,in stock,254,675,1.0
183,7046,incart,out of product,338,867,1.8
184,9408,purchased,in stock,258,651,3.8
185,3561,incart,in stock,104,444,4.7
186,8014,incart,in stock,496,871,4.9
187,7359,incart,out of product,173,113,2.4
188,6354,purchased,out of product,328,744,1.5
189,1434,purchased,in stock,430,720,1.7
190,1429,purchased,out of product,0,856,4.7
191,9783,purchased,out of product,252,643,1.6
192,7805,purchased,in stock,122,935,1.1
193,4663,purchased,out of product,54,391,4.4
194,1315,incart,out of product,361,711,2.7
195,6862,incart,in stock,129,971,4.5
196,3159,purchased,in stock,382,757,2.9
197,7180,incart,in stock,174,732,2.4
198,3483,incart,out of product,140,87,2.2
199,776,purchased,in stock,449,298,3.6
200,8974,incart,out of product,495,297,4.1
201,9012,purchased,out of product,308,189,3.2
202,5951,purchased,in stock,413,171,2.1
203,8660,purchased,in stock,29,903,2.8
204,7114,incart,out of product,42,925,4.8
205,1236,incart,in stock,151,882,1.3
206,7843,incart,out of product,23,775,4.0
207,8526,purchased,in stock,261,490,4.1
208,4066,incart,out of product,11,256,2.5
209,6869,incart,in stock,486,604,4.5
210,7349,purchased,in stock,74,822,3.9
211,8510,purchased,in stock,182,328,4.9
212,2344,incart,out of product,71,80,2.2
213,9032,purchased,out of product,26,737,2.5
214,9380,purchased,out of product,188,118,2.0
215,5495,incart,in stock,71,837,3.2
216,7118,purchased,out of product,237,89,2.4
217,2255,purchased,in stock,127,131,1.4
218,1122,purchased,in stock,495,752,4.4
219,7919,purchased,out of product,137,969,2.8
220,8215,purchased,in stock,260,799,3.6
221,8156,incart,in stock,229,891,3.2
222,9763,purchased,in stock,9,967,1.3
223,6902,incart,out of product,169,669,3.3
224,3632,incart,in stock,487,37,1.1
225,4966,incart,out of product,193,200,2.0
226,3267,incart,in stock,13,823,3.7
227,9165,incart,out of product,153,319,2.5
228,136,incart,in stock,276,947,4.2
229,7900,purchased,in stock,243,116,4.8
230,857,incart,out of product,155,537,3.1
231,1247,purchased,out of product,288,255,1.7
232,3782,purchased,out of product,18,951,4.8
233,9392,incart,out of product,301,939,4.5
234,9252,purchased,in stock,53,440,3.2
235,879,incart,in stock,219,941,4.0
236,6929,purchased,in stock,264,416,4.7
237,5239,incart,in stock,132,939,3.1
238,5423,purchased,out of product,79,791,4.5
239,4310,incart,out of product,388,334,4.2
240,6367,purchased,in stock,464,680,3.9
241,3373,purchased,in stock,128,268,2.2
242,7205,purchased,in stock,188,245,3.3
243,8048,purchased,out of product,314,753,3.7
244,9962,purchased,out of product,209,467,1.7
245,8167,purchased,out of product,201,99,4.3
246,729,purchased,out of product,50,111,2.7
247,6505,incart,out of product,171,261,2.4
248,7198,purchased,in stock,4,48,2.8
249,5123,purchased,in stock,112,714,3.5
250,7645,purchased,in stock,204,91,1.7
251,6811,purchased,out of product,469,374,1.4
252,7156,incart,out of product,309,862,3.2
253,2632,purchased,out of product,259,112,2.9
254,187,incart,in stock,129,92,4.6
255,8735,purchased,in stock,217,69,1.7
256,7888,incart,in stock,323,792,4.2
257,4031,purchased,in stock,79,781,4.7
258,5795,incart,in stock,16,721,4.7
259,6073,incart,out of product,165,742,2.2
260,1891,purchased,in stock,471,802,3.4
261,6773,purchased,out of product,268,961,3.1
262,3023,incart,out of product,199,303,2.9
263,7999,incart,in stock,155,126,3.2
264,2876,incart,in stock,255,346,1.9
265,8813,incart,out of product,18,797,1.0
266,4573,incart,out of product,17,348,1.3
267,5132,incart,out of product,57,531,1.1
268,3966,incart,in stock,326,676,1.0
269,1243,incart,out of product,46,173,2.8
270,9934,purchased,in stock,123,27,2.1
271,4795,purchased,in stock,443,488,2.6
272,2442,purchased,out of product,195,505,2.1
273,4244,purchased,out of product,109,962,1.3
274,100,purchased,out of product,285,43,1.0
275,5093,purchased,in stock,8,249,3.9
276,4338,purchased,out of product,357,814,4.8
277,1683,purchased,in stock,312,467,4.7
278,6408,incart,out of product,298,994,2.0
279,3421,purchased,in stock,20,328,4.1
280,6963,incart,in stock,173,610,1.1
281,2027,incart,in stock,240,337,4.7
282,5429,purchased,in stock,193,933,1.3
283,8073,purchased,out of product,312,708,4.2
284,8115,incart,out of product,11,941,3.5
285,9562,incart,out of product,15,368,1.8
286,9000,purchased,in stock,479,757,2.8
287,7906,purchased,out of product,109,721,2.6
288,2726,purchased,out of product,215,803,3.6
289,7909,incart,in stock,215,772,2.6
290,5490,purchased,out of product,383,748,2.8
291,3391,purchased,in stock,268,947,1.6
292,959,purchased,in stock,477,548,3.1
293,2044,purchased,out of product,13,520,2.3
294,8549,purchased,in stock,264,335,1.9
295,9483,incart,out of product,297,928,3.1
296,2206,incart,in stock,249,594,1.1
297,1696,purchased,in stock,419,840,2.9
298,7453,incart,in stock,427,68,1.5
299,957,incart,out of product,70,817,4.7
300,8783,incart,out of product,104,69,2.3
301,4399,purchased,out of product,34,931,4.8
302,837,incart,in stock,300,842,4.2
303,1601,purchased,out of product,120,92,2.9
304,9504,purchased,out of product,197,30,2.3
305,7771,purchased,out of product,360,130,3.3
306,7685,purchased,in stock,144,121,2.5
307,8123,incart,in stock,39,607,3.8
308,3776,incart,out of product,134,104,1.3
309,9840,incart,in stock,56,262,4.6
310,4211,purchased,in stock,140,998,1.4
311,4816,purchased,out of product,242,627,4.5
312,4657,incart,in stock,435,927,1.1
313,4247,purchased,in stock,286,625,4.2
314,7869,incart,out of product,292,726,4.0
315,949,incart,in stock,315,944,3.2
316,8005,incart,out of product,53,126,4.2
317,2207,incart,in stock,94,390,2.2
318,885,purchased,in stock,20,127,1.7
319,1350,purchased,out of product,361,130,5.0
320,3934,purchased,in stock,301,696,2.1
321,8109,purchased,in stock,275,374,2.3
322,3686,incart,out of product,377,784,4.7
323,9163,purchased,out of product,95,682,2.0
324,7802,purchased,in stock,128,803,3.2
325,9543,incart,out of product,245,165,1.1
326,5252,purchased,out of product,163,465,2.4
327,2123,incart,in stock,111,824,1.7
328,3596,purchased,in stock,181,21,1.4
329,1932,incart,out of product,366,72,5.0
330,1936,purchased,out of product,20,643,4.6
331,3271,purchased,out of product,167,149,2.1
332,7972,purchased,out of product,51,410,5.0
333,7011,purchased,in stock,441,326,1.6
334,2852,purchased,out of product,447,159,3.4
335,7675,incart,in stock,350,451,1.2
336,4939,incart,out of product,213,43,2.9
337,5747,incart,out of product,379,412,2.4
338,1329,purchased,out of product,297,472,1.1
339,4057,incart,out of product,293,799,4.5
340,1437,incart,out of product,455,210,3.7
341,5470,incart,out of product,127,237,3.2
342,3471,purchased,out of product,291,848,2.7
343,2717,incart,in stock,302,312,2.4
344,1283,purchased,in stock,10,711,3.5
345,9410,incart,out of product,132,719,4.6
346,924,incart,out of product,473,540,4.1
347,5782,purchased,out of product,94,851,2.0
348,9541,purchased,in stock,357,804,2.2
349,8073,purchased,out of product,178,698,4.3
350,3760,purchased,in stock,39,785,4.3
351,8081,incart,in stock,360,102,3.0
352,1818,incart,in stock,256,625,2.9
353,5773,purchased,in stock,274,416,3.1
354,6000,incart,in stock,329,606,1.1
355,1338,purchased,in stock,159,566,1.5
356,2957,purchased,in stock,411,875,4.0
357,7257,incart,in stock,309,926,4.2
358,477,purchased,in stock,346,569,1.5
359,3724,incart,out of product,319,514,1.8
360,420,purchased,out of product,281,576,4.2
361,1903,purchased,in stock,149,983,1.0
362,7337,purchased,out of product,54,947,1.4
363,1909,incart,out of product,113,909,4.2
364,9178,incart,out of product,322,818,2.2
365,9139,incart,out of product,109,238,1.3
366,199,incart,out of product,496,655,4.3
367,4508,purchased,out of product,390,241,2.8
368,8102,purchased,in stock,322,322,2.6
369,5017,purchased,in stock,339,911,4.9
370,6003,purchased,in stock,52,331,2.0
371,5530,incart,out of product,465,937,3.9
372,5774,purchased,in stock,424,967,3.9
373,9315,incart,out of product,21,795,1.6
374,5423,purchased,out of product,170,117,2.0
375,4314,incart,in stock,339,798,2.8
376,1536,incart,in stock,407,898,4.1
377,8319,purchased,out of product,353,637,3.9
378,9606,purchased,in stock,42,962,1.4
379,9578,incart,out of product,107,566,4.1
380,8025,purchased,out of product,203,212,3.6
381,9626,incart,in stock,435,407,4.9
382,5086,purchased,out of product,366,311,1.9
383,3615,incart,in stock,236,60,4.0
384,3759,incart,in stock,250,765,2.0
385,510,incart,in stock,96,258,2.3
386,9520,incart,out of product,80,362,4.0
387,240,incart,out of product,139,754,3.8
388,6097,incart,out of product,452,87,3.7
389,9370,incart,out of product,371,428,3.8
390,7334,incart,out of product,26,623,4.2
391,2311,incart,out of product,270,988,3.5
392,2238,incart,in stock,227,320,1.3
393,388,purchased,out of product,86,943,1.9
394,9579,incart,out of product,222,332,1.3
395,8453,incart,out of product,54,285,2.7
396,6531,purchased,in stock,321,667,1.4
397,5570,incart,in stock,143,542,3.8
398,9899,purchased,in stock,40,200,4.2
399,3392,purchased,in stock,59,440,4.5
400,7075,incart,out of product,379,132,3.4
401,4444,purchased,in stock,486,957,3.4
402,9702,incart,in stock,222,654,4.1
403,5776,incart,out of product,451,934,2.4
404,5178,incart,in stock,375,155,3.8
405,3301,purchased,in stock,52,335,3.8
406,8861,purchased,out of product,69,984,1.5
407,781,incart,in stock,439,300,2.1
408,3847,incart,out of product,51,446,3.6
409,3953,purchased,out of product,99,366,2.4
410,7383,incart,in stock,127,564,1.8
411,9401,incart,out of product,182,611,4.3
412,5075,incart,in stock,3,666,1.5
413,3440,purchased,in stock,387,468,4.1
414,3227,purchased,in stock,2,476,3.0
415,6245,purchased,in stock,371,636,3.9
416,6815,purchased,in stock,131,347,3.5
417,9082,incart,out of product,80,294,4.7
418,1468,purchased,in stock,289,164,4.6
419,4518,purchased,in stock,451,744,1.6
420,4662,purchased,out of product,13,43,3.8
421,1479,purchased,in stock,484,712,1.2
422,1597,purchased,in stock,158,528,4.4
423,1161,purchased,out of product,230,42,1.8
424,2864,incart,in stock,181,325,3.1
425,3232,incart,out of product,299,409,3.8
426,956,incart,in stock,160,45,2.7
427,1579,purchased,in stock,353,17,1.4
428,5799,purchased,out of product,348,60,2.9
429,5105,purchased,in stock,209,423,2.6
430,2593,purchased,out of product,71,135,4.2
431,3500,incart,out of product,497,453,2.9
432,5428,incart,in stock,67,63,3.2
433,8855,incart,out of product,464,168,4.2
434,2703,purchased,out of product,88,827,3.2
435,8367,purchased,in stock,134,163,1.9
436,4431,incart,in stock,393,136,2.9
437,3048,incart,out of product,387,588,3.8
438,5773,purchased,in stock,360,504,2.8
439,7367,incart,in stock,490,48,4.6
440,2699,incart,in stock,317,639,1.1
441,6690,purchased,in stock,67,75,4.1
442,1493,purchased,in stock,291,659,2.8
443,1350,purchased,out of product,118,304,4.5
444,7331,incart,out of product,218,158,3.6
445,4335,incart,in stock,0,356,4.3
446,5429,purchased,out of product,299,69,1.0
447,3953,incart,in stock,335,633,2.0
448,894,incart,out of product,427,809,1.9
449,7994,incart,in stock,333,315,3.4
450,8804,incart,out of product,64,214,4.9
451,6776,incart,out of product,8,134,3.8
452,8519,incart,out of product,478,256,3.1
453,8693,incart,out of product,239,939,2.8
454,581,purchased,in stock,332,245,2.3
455,3233,purchased,in stock,277,240,3.0
456,861,purchased,in stock,401,990,4.6
457,4256,incart,in stock,179,576,4.0
458,7435,purchased,in stock,44,43,2.4
459,1099,purchased,out of product,93,520,3.3
460,8524,incart,out of product,52,311,1.2
461,3005,incart,out of product,329,912,3.3
462,2947,purchased,out of product,189,179,3.0
463,7343,purchased,in stock,109,606,4.8
464,9975,purchased,in stock,256,984,4.8
465,1052,incart,out of product,184,412,1.2
466,6280,incart,out of product,283,763,2.4
467,9785,incart,out of product,59,481,3.8
468,6154,purchased,out of product,376,156,3.7
469,9181,purchased,out of product,483,818,3.3
470,4626,incart,out of product,275,241,2.6
471,4388,incart,out of product,78,169,1.8
472,2105,incart,out of product,234,755,1.7
473,3055,incart,out of product,52,172,4.6
474,4733,incart,out of product,367,45,3.0
475,1893,purchased,in stock,402,513,2.0
476,1875,incart,in stock,163,829,1.6
477,5232,incart,out of product,149,377,3.4
478,949,purchased,out of product,214,84,3.7
479,2409,incart,out of product,178,506,1.8
480,6841,purchased,in stock,402,775,1.9
481,3872,incart,out of product,383,594,1.9
482,7792,purchased,in stock,145,724,3.5
483,9676,incart,out of product,97,247,1.5
484,2351,incart,out of product,488,605,4.0
485,4426,incart,out of product,231,579,4.8
486,8946,incart,in stock,297,680,4.1
487,9273,purchased,out of product,31,840,2.2
488,5036,purchased,out of product,337,534,4.6
489,443,incart,out of product,51,838,4.8
490,9534,incart,in stock,1,902,4.9
491,150,purchased,out of product,498,464,1.7
492,4226,incart,in stock,76,399,3.3
493,2623,incart,in stock,364,282,3.9
494,7385,incart,out of product,195,35,2.4
495,5240,incart,out of product,369,757,2.9
496,6584,incart,in stock,229,46,1.4
497,6958,incart,out of product,281,804,3.0
498,3336,incart,out of product,282,643,4.2
499,9215,incart,in stock,215,798,2.6
500,2532,purchased,in stock,90,421,3.0
501,1497,incart,in stock,328,269,1.5
502,4974,incart,in stock,281,762,1.5
503,204,incart,out of product,116,87,1.1
504,1969,incart,in stock,457,951,3.9
505,5066,purchased,in stock,210,757,4.2
506,9836,purchased,in stock,266,844,3.7
507,4949,purchased,out of product,213,637,2.5
508,2421,incart,out of product,95,729,2.9
509,3426,purchased,out of product,129,686,3.4
510,4652,incart,out of product,43,978,2.0
511,1749,purchased,out of product,167,922,4.2
512,9616,purchased,out of product,113,921,1.7
513,8516,purchased,out of product,362,473,1.5
514,9112,purchased,out of product,287,669,1.8
515,1477,purchased,out of product,62,725,3.1
516,7024,purchased,out of product,15,110,2.3
517,9054,purchased,in stock,89,474,2.1
518,257,incart,in stock,69,225,4.6
519,4564,purchased,in stock,287,810,3.5
520,6501,incart,out of product,385,519,3.7
521,6300,incart,out of product,369,279,3.6
522,8327,purchased,out of product,53,699,1.3
523,8646,incart,out of product,297,957,2.2
524,7665,incart,out of product,113,968,2.9
525,1092,purchased,in stock,209,158,1.5
526,4698,purchased,out of product,286,938,3.6
527,2911,incart,in stock,164,499,3.3
528,2374,purchased,in stock,427,158,3.9
529,3877,incart,out of product,119,387,2.0
530,2282,incart,in stock,418,438,2.3
531,3979,incart,out of product,209,656,3.9
532,1479,purchased,out of product,195,423,3.7
533,6923,purchased,out of product,377,645,2.9
534,2040,purchased,out of product,74,147,3.8
535,462,purchased,out of product,148,357,2.0
536,8760,incart,out of product,468,44,4.7
537,2556,purchased,out of product,152,153,2.6
538,5615,purchased,in stock,296,287,2.6
539,3985,purchased,in stock,319,582,3.1
540,2518,purchased,out of product,159,237,4.3
541,6238,incart,in stock,205,881,4.0
542,1477,purchased,out of product,274,479,2.5
543,6941,purchased,out of product,145,874,4.9
544,1104,purchased,in stock,248,731,2.9
545,7551,incart,in stock,360,347,2.7
546,1673,incart,out of product,372,227,4.1
547,2139,incart,out of product,217,331,3.9
548,6986,incart,in stock,40,106,3.2
549,1280,incart,out of product,405,111,4.3
550,1844,incart,in stock,379,536,3.6
551,6033,incart,out of product,436,848,1.9
552,9281,incart,in stock,243,565,4.8
553,6367,purchased,out of product,111,91,3.7
554,1679,incart,in stock,307,28,4.4
555,585,purchased,out of product,234,978,4.5
556,6383,incart,in stock,60,746,4.8
557,3677,purchased,in stock,377,279,4.6
558,6221,purchased,in stock,279,947,2.6
559,7768,purchased,out of product,108,692,2.5
560,9555,incart,out of product,213,946,4.2
561,1812,purchased,out of product,369,389,2.6
562,7207,incart,out of product,343,335,2.1
563,5028,purchased,out of product,270,214,3.5
564,8931,purchased,out of product,107,970,2.2
565,8772,incart,in stock,43,391,4.5
566,970,incart,out of product,252,155,4.4
567,9636,incart,in stock,9,248,4.5
568,7635,incart,in stock,229,152,4.4
569,695,purchased,out of product,23,525,4.0
570,2463,purchased,out of product,376,639,1.2
571,1622,purchased,in stock,395,847,4.4
572,9283,incart,out of product,211,679,5.0
573,9959,purchased,out of product,227,419,2.3
574,9022,incart,in stock,144,881,1.5
575,1718,incart,out of product,362,979,1.4
576,3759,purchased,out of product,29,913,3.8
577,8720,purchased,in stock,407,639,3.3
578,3342,incart,in stock,468,606,1.1
579,8782,incart,out of product,274,310,2.5
580,4301,purchased,in stock,261,98,4.6
581,5781,purchased,out of product,315,92,3.8
582,5629,purchased,in stock,37,574,1.3
583,4267,incart,in stock,72,364,3.1
584,2474,incart,out of product,342,579,1.7
585,3510,incart,out of product,44,473,1.9
586,6237,purchased,out of product,237,775,1.2
587,5686,purchased,out of product,356,844,4.9
588,3215,incart,in stock,292,918,1.6
589,288,incart,out of product,33,162,2.4
590,2308,purchased,out of product,449,987,3.4
591,4480,purchased,in stock,178,83,4.7
592,485,purchased,in stock,70,550,2.1
593,5135,purchased,out of product,243,563,2.2
594,8975,purchased,in stock,496,17,2.5
595,9168,purchased,in stock,307,676,2.4
596,3837,incart,in stock,16,711,2.6
597,5422,purchased,in stock,260,776,3.7
598,3285,purchased,in stock,176,571,3.1
599,9667,purchased,in stock,462,823,4.7
600,2660,purchased,in stock,380,615,1.9
601,6028,purchased,out of product,97,282,2.3
602,5944,purchased,out of product,347,52,2.6
603,597,purchased,in stock,258,14,4.6
604,1948,purchased,in stock,153,371,4.6
605,6625,incart,in stock,161,918,2.1
606,506,purchased,out of product,441,456,4.7
607,7151,incart,in stock,115,493,2.2
608,8994,purchased,out of product,62,437,2.9
609,1823,purchased,in stock,484,459,4.0
610,9893,purchased,in stock,346,591,3.2
611,9853,incart,in stock,346,812,1.8
612,7322,incart,in stock,55,147,4.5
613,4944,incart,in stock,447,608,4.7
614,9702,incart,in stock,219,705,3.7
615,7240,incart,in stock,232,206,4.7
616,4088,incart,out of product,339,201,1.3
617,5034,incart,in stock,309,679,1.1
618,8879,purchased,out of product,333,483,1.5
619,7885,incart,out of product,227,576,4.5
620,7748,incart,out of product,142,951,4.1
621,441,incart,in stock,390,750,2.7
622,2262,purchased,in stock,61,557,3.8
623,4530,purchased,out of product,175,757,1.4
624,6998,incart,in stock,249,223,1.8
625,1549,purchased,in stock,192,613,4.7
626,6305,incart,in stock,324,45,1.7
627,8619,incart,in stock,397,37,1.8
628,2263,purchased,in stock,99,969,1.8
629,8557,incart,in stock,341,114,3.1
630,4577,purchased,out of product,310,714,1.9
631,3831,purchased,in stock,115,158,4.0
632,4921,incart,in stock,21,272,4.7
633,3181,incart,out of product,197,855,1.1
634,8025,purchased,in stock,324,179,1.9
635,4519,incart,in stock,309,243,2.1
636,8329,purchased,in stock,374,510,4.2
637,4090,purchased,in stock,21,594,1.2
638,4757,purchased,out of product,221,417,4.2
639,6502,incart,out of product,227,890,3.1
640,4886,incart,in stock,257,245,4.1
641,6180,purchased,out of product,271,886,3.6
642,6964,incart,out of product,286,429,4.0
643,336,purchased,in stock,222,67,2.2
644,2835,incart,in stock,6,921,1.3
645,3718,purchased,out of product,265,63,4.7
646,6227,purchased,out of product,133,87,4.2
647,7492,incart,in stock,467,230,3.3
648,3925,purchased,out of product,276,159,1.8
649,8505,incart,out of product,60,672,3.9
650,1972,incart,out of product,99,986,1.6
651,2167,purchased,in stock,25,480,1.9
652,6476,purchased,in stock,183,711,3.3
653,7851,incart,out of product,434,242,2.0
654,1446,purchased,in stock,144,43,1.6
655,839,purchased,out of product,276,783,1.0
656,4226,purchased,out of product,20,644,2.5
657,3835,incart,out of product,71,511,4.7
658,3537,incart,in stock,323,350,3.1
659,7394,incart,in stock,18,231,1.2
660,9029,incart,out of product,4,685,3.6
661,5194,incart,out of product,69,943,2.8
662,8432,incart,out of product,465,535,3.7
663,6185,incart,out of product,398,527,2.2
664,567,purchased,out of product,116,66,4.1
665,1213,incart,out of product,220,891,3.3
666,2068,incart,out of product,32,361,3.7
667,9574,incart,in stock,362,140,3.2
668,3137,incart,out of product,87,478,1.9
669,5111,incart,in stock,132,662,4.9
670,4968,purchased,out of product,445,425,4.1
671,3744,incart,in stock,474,124,1.5
672,5238,purchased,in stock,125,444,2.3
673,6782,incart,out of product,366,911,2.7
674,2479,purchased,in stock,370,23,1.3
675,7289,purchased,out of product,412,642,1.5
676,7285,incart,out of product,92,423,4.5
677,5867,purchased,in stock,239,485,2.0
678,4551,purchased,in stock,325,233,4.8
679,4090,purchased,in stock,249,382,1.6
680,8962,purchased,in stock,340,225,3.3
